"","estado","var","value"
"1","Aguascalientes","PEIIndexp_i",64.49708
"2","Aguascalientes","laws.1_i",58.33333
"3","Aguascalientes","procedures.1_i",83.61607
"4","Aguascalientes","boundaries.1_i",66.36905
"5","Aguascalientes","votereg_i",78.75
"6","Aguascalientes","partyreg_i",65.71429
"7","Aguascalientes","media_i",57.14286
"8","Aguascalientes","finance_i",39.32143
"9","Aguascalientes","voting_i",62.32143
"10","Aguascalientes","count_i",68.10714
"11","Aguascalientes","results_i",66.38393
"12","Aguascalientes","EMBs_i",75
"13","Baja California","PEIIndexp_i",55.91199
"14","Baja California","laws.1_i",64.58333
"15","Baja California","procedures.1_i",73.4375
"16","Baja California","boundaries.1_i",56.70139
"17","Baja California","votereg_i",72.1875
"18","Baja California","partyreg_i",43.1875
"19","Baja California","media_i",43.4375
"20","Baja California","finance_i",30.77083
"21","Baja California","voting_i",58.67188
"22","Baja California","count_i",70.02083
"23","Baja California","results_i",56.92708
"24","Baja California","EMBs_i",57.83854
"25","Baja California Sur","PEIIndexp_i",57.44331
"26","Baja California Sur","laws.1_i",38.88889
"27","Baja California Sur","procedures.1_i",70.13889
"28","Baja California Sur","boundaries.1_i",54.90741
"29","Baja California Sur","votereg_i",62.03704
"30","Baja California Sur","partyreg_i",59.41667
"31","Baja California Sur","media_i",51.66667
"32","Baja California Sur","finance_i",37.80556
"33","Baja California Sur","voting_i",61.07639
"34","Baja California Sur","count_i",62.83333
"35","Baja California Sur","results_i",59.02778
"36","Baja California Sur","EMBs_i",70.83333
"37","Campeche","PEIIndexp_i",47.13921
"38","Campeche","laws.1_i",42.85714
"39","Campeche","procedures.1_i",58.03571
"40","Campeche","boundaries.1_i",54.34524
"41","Campeche","votereg_i",55.29762
"42","Campeche","partyreg_i",41.67857
"43","Campeche","media_i",41
"44","Campeche","finance_i",28.21429
"45","Campeche","voting_i",49.95536
"46","Campeche","count_i",53.57143
"47","Campeche","results_i",48.125
"48","Campeche","EMBs_i",51.42857
"49","Chiapas","PEIIndexp_i",50.90267
"50","Chiapas","laws.1_i",52.98077
"51","Chiapas","procedures.1_i",58.65385
"52","Chiapas","boundaries.1_i",48.07692
"53","Chiapas","votereg_i",53.46154
"54","Chiapas","partyreg_i",48.65385
"55","Chiapas","media_i",39.23077
"56","Chiapas","finance_i",38.86538
"57","Chiapas","voting_i",50.86538
"58","Chiapas","count_i",63.23077
"59","Chiapas","results_i",56.44231
"60","Chiapas","EMBs_i",53.36538
"61","Chihuahua","PEIIndexp_i",55.80612
"62","Chihuahua","laws.1_i",60
"63","Chihuahua","procedures.1_i",72.5
"64","Chihuahua","boundaries.1_i",55.625
"65","Chihuahua","votereg_i",62.5
"66","Chihuahua","partyreg_i",50.4
"67","Chihuahua","media_i",42.5
"68","Chihuahua","finance_i",34.525
"69","Chihuahua","voting_i",54.9375
"70","Chihuahua","count_i",63.675
"71","Chihuahua","results_i",60.15625
"72","Chihuahua","EMBs_i",68.625
"73","Ciudad de México","PEIIndexp_i",64.86111
"74","Ciudad de México","laws.1_i",65.27778
"75","Ciudad de México","procedures.1_i",73.95833
"76","Ciudad de México","boundaries.1_i",79.00463
"77","Ciudad de México","votereg_i",84.14352
"78","Ciudad de México","partyreg_i",61.23611
"79","Ciudad de México","media_i",50.13889
"80","Ciudad de México","finance_i",39.66667
"81","Ciudad de México","voting_i",65.32118
"82","Ciudad de México","count_i",79.11111
"83","Ciudad de México","results_i",62.1875
"84","Ciudad de México","EMBs_i",68.75
"85","Coahuila","PEIIndexp_i",62.34694
"86","Coahuila","laws.1_i",66.66667
"87","Coahuila","procedures.1_i",73.75
"88","Coahuila","boundaries.1_i",66.08333
"89","Coahuila","votereg_i",76.08333
"90","Coahuila","partyreg_i",59.125
"91","Coahuila","media_i",34.225
"92","Coahuila","finance_i",46.825
"93","Coahuila","voting_i",59.84375
"94","Coahuila","count_i",72.35
"95","Coahuila","results_i",68.96875
"96","Coahuila","EMBs_i",79.0625
"97","Colima","PEIIndexp_i",53.60787
"98","Colima","laws.1_i",54.7619
"99","Colima","procedures.1_i",66.07143
"100","Colima","boundaries.1_i",41.54762
"101","Colima","votereg_i",66.36905
"102","Colima","partyreg_i",46.53571
"103","Colima","media_i",37.21429
"104","Colima","finance_i",35.42857
"105","Colima","voting_i",62.5
"106","Colima","count_i",61.42857
"107","Colima","results_i",66.07143
"108","Colima","EMBs_i",51.78571
"109","Durango","PEIIndexp_i",58.86774
"110","Durango","laws.1_i",64.74359
"111","Durango","procedures.1_i",75.96154
"112","Durango","boundaries.1_i",59.55128
"113","Durango","votereg_i",65
"114","Durango","partyreg_i",50.55769
"115","Durango","media_i",41.25
"116","Durango","finance_i",43.07692
"117","Durango","voting_i",59.97596
"118","Durango","count_i",68.57692
"119","Durango","results_i",57.76442
"120","Durango","EMBs_i",71.15385
"121","Estado de México","PEIIndexp_i",63.0119
"122","Estado de México","laws.1_i",66.38889
"123","Estado de México","procedures.1_i",75.39583
"124","Estado de México","boundaries.1_i",63.16667
"125","Estado de México","votereg_i",71.77778
"126","Estado de México","partyreg_i",50.01667
"127","Estado de México","media_i",50.65
"128","Estado de México","finance_i",47.95
"129","Estado de México","voting_i",63.4375
"130","Estado de México","count_i",73.33333
"131","Estado de México","results_i",66.04167
"132","Estado de México","EMBs_i",75.14583
"133","Guanajuato","PEIIndexp_i",58.21854
"134","Guanajuato","laws.1_i",47.91667
"135","Guanajuato","procedures.1_i",70.3125
"136","Guanajuato","boundaries.1_i",66.80556
"137","Guanajuato","votereg_i",73.64583
"138","Guanajuato","partyreg_i",49.875
"139","Guanajuato","media_i",45.72917
"140","Guanajuato","finance_i",38.45833
